Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.18,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18,8.20.18,8.23.18,8.27.18,8.30.18,9.3.18,9.6.18,9.10.18,9.13.18,9.17.18,9.20.18,9.25.18,9.27.18,10.1.18,10.4.18,10.8.18,10.15.18,10.24.18,10.31.18,11.7.18
SAMRAC_GR_8,13,",9",",9",",9",",9",12-DMG,12-D,12-D,"51,12-D","51,11","51,15","51,15","55,15",55,"55,19","55,19","65,19",67,17,"62,19",72,75,75,77,77,79,89,89,89,89,89,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,"94,100","94,101",94,94,95,95,95,95,95,95,95,96,97
DIELON_WM_1B,13,,,,,7,7,9-D,9-D,11,11,11,15,15,17,19,19,,,,,,,,,,60,,,,,55,60,61,64,65,67,67,"67,72","67,72",74,74,78,81,"82,100","82,101","82,101","82,101","82,101",82,82,82,83,84,85,86,86,86,88,88,88,"88,91","89,92",93,94
SAMRAC_HF_C,13,",7",",7",",7",",9",11-D,11-DMG,11-D,11,11,11,11,11,15,17,19,19,,,,51,55,55,59,59,59,59,59,63,67,67,71,"67,71",72,72,74,75,75,75,75,81,89,89,89,"89,100","89,100","89,100",100,100,"100,89",100,"100,89","89,100,90","89,100","89,101","89,101",101,89,90,90,90,92,92,93,97
DIELON_SH_2A,13,,,,,,7,9-D,9-D,11-D,11-D,11,15,15,17,19,19,,,,51,55,55,59,64,67,67,71,71,72,72,72,72,72,72,72,"73,55","67,73",74,74,81,81,88,88,"88,100","88,100","88,100",100,100,100,"88,100","88,100","88,100","89,100","89,101",89,,,89,,,90,92,92,96
SORAME_SH_3,13,,,,,,,,,7,,,,,,,,,19,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,,,,,,,,,,,,,,,,92,96,99,,
DIELON_SH_4,13,,,,,,,,,,,,,,,,,,19,,51,55,55,61,62,64,67,69,,,67,71,,72,,,71,71,73,73,81,81,84,84,"85,100","85,101","85,101",86,"85,101",85,85,85,88,88,88,88,88,88,89,,,90,92,93,94
SAMRAC_HF_D,13,",7",",7",",7",",9",10-D,11-DMG,11-D,11-D,11,11,15,15,15,17,19,19,,,,,,,55,55,57,59,59,62,65,67,67,67,67,67,"67,71","67,72",73,75,75,78,79,81,85,"90,100","89,100","89,100",100,100,"100,89",100,"100,89","89,100","89,100","89,101",89,,,90,90,90,92,92,93,96
DIELON_SH_2B,13,,,,,,9,11-D,11-D,11,11,15,15,15,19,19,19,,,,51,55,55,,62,67,67,67,67,69,67,71,71,72,72,"67,72","67,72",72,72,72,74,74,"74,100","79,100","81,100","84,100","84,100","85,100",,"85,100","85,100","85,100","85,100","85,101",85,85,86,86,86,"88,91","88,92","88,92","89,93",93,94
DIELON_WM_1C,13,,,,,,,,7-D,9-D,9-D,9,11,11,17,19,19,,,,,,,,,,,,,,51,55,60,62,63,67,"67,71",71,"67,72",72,72,72,74,"74,100","74,101","71,81",81,84,"85,100","85,100","85,100","85,100","85,100","85,101",85,85,85,85,86,"86,90","86,90","88,92","89,94",94,94
BETALL_GR_13,15,,,,,7,7,7,7,9,7,9,9,9,11,15,17,19,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101,"102,90",90,90,91,93,93,94,94,94,94,96,96,99
BETALL_GR_14,15,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,102,102,102,,,,,,90,90,91,92,94,94,95,95,96,97,97,97,99
ALNINC_SH_4,15,,,,,,,,,,7,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","101,100-m",100-m,"101,100-m","101,100-m","101,100-m","101,100-m","100,100-m","101,100-m","101,100-m","101,100-m","101,100-m","100-m,101","101-m,101","101-m,101","101-m,102","101-m,90","101-m,90","102-m,91",92,93,97
BETPOP_WM_9,15,,,,,7,7,7,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,"100,90","101,90","101,90","102,93",94,94,94,94,94,94,95,95,97
AMECAN_SH_3,15,,,,,7,7,7,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,100,100,100,101,,,,,,,,,,,,,,,,,90,90,90,90,92,92,92,92,93,94,96,97,99
ALNINC_GR_11,15,,,,,,,7,7,9,9,11,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,101,102,,90,90,90,91,93,94,96
ALNINC_HF_9,15,"51-M,","51-M,","69-M,",,,,,,7,7,9,11,11,"69-f,19",19,19,,,,,,,71,71,72,72,75,75,77,77,79,79,"79, 100-m","79,100-m","79,100","79,100","79,100-m","81,100-m","81,100-m","82,100-m","82,100-m","88,100-m,100","88,100-m,100","101,1100-m,88","88,100-m","88,101,100-m","88,100-m,102","85,100-m","85,100-m,100","102,100-m,85","100-m,85","82,100-m","82,100-m","84,100-m","84,100-m","100-m,84","101-m,84","101-m,85","101-m,85","101-m,85","102-m,85","88,91","89,93",98
QUEALB_HF_4,15,,,,,,,,,,,,,,,,,,17,19,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,,,,,,,,,,,91,92,93,93,94,98,98,98
BETPOP_WM_7,15,,,,,7,7,7,7,9,9,11,11,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,102,,92,92,94,94,96,96,97
BETPOP_WM_8,15,,,,,,,7,7,9,9,11,11,11,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,101,101,101,"102,93",93,93,93,93,94,96,96,96
MYRGAL_WM_6,14,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,100,100,100,100,101,,,,,,,,,,90,90,90,92,94,94,94,94,94,94,95,95,98
VIBCAS_WM_7,14,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,,,,,,,,,,,,,,,,,,92,93,94
SAMRAC_GR_4A,14,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,91,92,92,95,96,96,96,96,96,99
AROMEL_WM_2,14,,,,,,,,,,,,,,,,,,"64,19",65,67,69,71,75,75,77,77,77,77,78,78,81,81,81,"81,100","83,100","81,100","81,100","83,100","85,100","87,100","88,100","89,100","89,100","89,101",89,,,,89,,89,89,,,,,,,,,,92,94,98
VIBCAS_HF_7A,14,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,101,,,,,,,,,,92,92,93,94,94,94,94,94,94,94,96,96,98
VIBCAS_GR_3,14,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,,,,,,,,,,,,,,,,,,90,91,92
AROMEL_HF_13,14,,,,,,,,,,,,,,,,,,"65,19",65,67,,72,75,75,79,79,79,79,79,79,79,79,79,"79,100","79,100","79,100","79,100","81,100","81,100","81,101",81,82,82,82,83,83,82,85,85,87,87,88,89,89,89,,90,90,90,90,92,93,93,98
DIELON_GR_6,14,,,,,,,,,,,,,,,,,,19,,,,55,61,61,62,67,67,69,71,71,71,"67,71",71,71,71,71,73,73,73,74,74,76,75,72,79,81,81,84,84,"86,100","86,100","92,100,86","92,101,86","86,92","87,92","94,88","94,88","94,89",94,95,96,96,96,97
DIELON_GR_2,14,,,,,,,,,,,,,,,,,,19,,51,55,55,57,62,65,67,69,,71,71,71,71,72,72,72,72,73,"55,73","60,73",64,64,69,69,71,75,81,84,84,84,85,"85,92","94,85","94,85","85,95","86,95","87,95","87,95","88,95","88,95","88,95","89,95",95,95,95
AROMEL_HF_12,14,,,,,,,,,,,,,,,,,,"65,19",65,67,69,72,72,75,75,75,76,77,78,78,79,79,79,79,79,"79,100","79,100","79,100","79,100","81,100","81,100","85,101",85,85,86,87,87,87,89,,89,89,89,"89,90","89,90",92,94,94,94,94,94,94,95,98
MYRGAL_SH_99,14,,,,,,,,,,,,,,,,,,19,,,,,71,72,75,75,78,77,79,79,79,79,81,"81,100","81,100","81,100","81,100","81,101","81,101",84,84,86,86,86,86,86,87,87,87,,87,"92,87","92,88","92,88","88,93",93,"88,93","89,94","89,94",94,94,94,95,95
DIELON_SH_4,14,,,,,,,,,,,,,,,,,,17,17,17,17,,,,,,,,,,,,,55,55,60,60,63,63,65,67,71,74,77,79,79,81,83,83,84,84,84,84,85,86,86,86,"88,90","88,91","88,93","89,94",95,95,95
SORAME_SH_3,14,,,,,,,,,,,,,,,,,,17,19,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,,,,,,,,,90,90,92,92,,92,92,92,99,,,
BETPOP_WM_8,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,,101,"101,92","102,94",94,94,94,94,94,96,96,99
QUEALB_HF_4A,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,100,100,100,100,101,,,,,,,,,,,,,,,,,90,90,90,92,92,93,93,94,94,94
QUEALB_HF_4B,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,100,100,100,100,101,,,,,,,,,,,,,,,,,90,90,90,91,94,94,94,96,97,97
ALNINC_WM_5A,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,"100-m,100","100-m,100","100-m,101",100-m,"100-m,101","100-m,101","100-m,100","100-m,100","100-m,100","100-m,101","100,100-m","100,100-m","101,100-m","101,100-m","101,100-m","101,101-m","90,101-m,102","101-m,90","101-m,91","102-m,92",92,93,95
ALNINC_GR_8,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,100,100,101,101,101,101,101,101,102,,,,,,,,90,90,90,91,91,92,96
BETPOP_GR_3,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,"100,100-m","100,100-m",100,100,100,100,101,101,96,97,97,98,98,99,,,,
ALNINC_SH_3,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100","100-m,100",100-m.100,"100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100,100-m","100,100-m","100,101-m","100,101-m","101-m,101","101-m,101","102,101-m",102-m,90,91,92,93,95
BETALL_SH_7,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,102,,,,90,90,90,92,94,94,94,95,95,95,97,98,99
ALNINC_HF_1,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,101,101,101,102,,,90,90,90,91,93,93,97
BETALL_GR_14,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,100,100,102,,,,,,,,92,92,92,93,95,95,95,95,96,96,96,96,98
ALNINC_WM_5B,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","101,100-m","101,100-m","101,101-m","101-m,102",101-m,101-m,101-m,101-m,101-m,"102-m,90",91,92,93
BETALL_WM_9,16,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
